NoEmp,Folio,Fecha,HoraI,HoraF,Motivos,Maquina,Razon,TurnoSeleccionado,HoraFinalSinMargen,HoraFinalConMargen,Estado
60040,873,2026-03-04,15:00:00,17:00:00,5,90,"Inserciones de prueba (Datos no reales)",turno1,17:00:00,17:15:00,null
60040,873,2026-03-05,18:30:00,20:30:00,5,90,"Inserciones de prueba (Datos no reales)",mixto2,20:30:00,20:45:00,null
55217,873,2026-02-11,15:00:00,17:00:00,5,90,"Inserciones de prueba (Datos no reales)",turno1,17:00:00,17:15:00,null
60040,874,2026-03-12,17:00:00,19:00:00,4,90,"Datos de prueba 1 dia despues de hoy",mixto1,19:00:00,19:15:00,null
60044,874,2026-03-12,17:00:00,19:00:00,10,90,"Datos de prueba 1 dia despues de hoy",mixto1,19:00:00,19:15:00,null
55217,874,2026-03-13,17:00:00,19:00:00,10,90,"Datos de prueba 2 dias despues de hoy",mixto1,19:00:00,19:15:00,null
55217,874,2026-03-11,17:00:00,19:00:00,10,90,"Datos de prueba 2 dias despues de hoy",mixto1,19:00:00,19:15:00,null
60040,873,2026-03-05,18:30:00,20:30:00,10,90,"Inserciones de prueba (Datos no reales)",mixto2,20:30:00,20:45:00,null
60040,873,2026-03-05,18:30:00,20:30:00,10,90,"Inserciones de prueba (Datos no reales)",mixto2,20:30:00,20:45:00,null
60040,873,2026-03-04,15:00:00,17:00:00,10,90,"Inserciones de prueba (Datos no reales)",turno1,17:00:00,17:15:00,null
60040,873,2026-03-04,15:00:00,17:00:00,10,90,"Inserciones de prueba (Datos no reales)",turno1,17:00:00,17:15:00,null
60040,873,2026-03-05,15:00:00,17:00:00,10,90,"Inserciones de prueba (Datos no reales)",turno1,17:00:00,17:15:00,null
60040,873,2026-03-05,15:00:00,17:00:00,10,90,"Inserciones de prueba (Datos no reales)",turno1,17:00:00,17:15:00,null
60040,873,2026-03-04,15:00:00,17:00:00,10,90,"Inserciones de prueba (Datos no reales)",turno1,17:00:00,17:15:00,null
60040,874,2026-02-06,15:00:00,17:00:00,10,90,"Inserciones de prueba (Datos no reales)",turno1,17:00:00,17:15:00,null
60040,873,2026-02-05,15:00:00,17:00:00,10,90,"Inserciones de prueba (Datos no reales)",turno1,17:00:00,17:15:00,null
60040,873,2026-02-04,15:00:00,17:00:00,10,90,"Inserciones de prueba (Datos no reales)",turno1,17:00:00,17:15:00,null
60040,873,2026-02-04,15:00:00,17:00:00,1,90,"Inserciones de prueba (Datos no reales)",turno1,17:00:00,17:15:00,null
60040,874,2026-03-10,07:00:00,09:00:00,1,90,"Inserciones de prueba (Datos no reales)",turno3,09:00:00,09:15:00,null
60040,874,2026-03-10,07:00:00,09:00:00,10,90,"Inserciones de prueba (Datos no reales)",turno3,09:00:00,09:15:00,null
60044,874,2026-03-10,07:00:00,09:00:00,10,90,"Inserciones de prueba (Datos no reales)",turno3,09:00:00,09:15:00,null
60044,874,2026-03-10,07:00:00,09:00:00,2,90,"Inserciones de prueba (Datos no reales)",turno3,09:00:00,09:15:00,null
60044,874,2026-03-10,07:00:00,13:20:00,2,90,"Inserciones de prueba (Datos no reales)",turno3,13:20:00,13:35:00,null
60044,874,2026-03-10,07:00:00,13:20:00,10,90,"Inserciones de prueba (Datos no reales)",turno3,13:20:00,13:35:00,null
60040,874,2026-03-10,07:00:00,13:20:00,10,90,"Inserciones de prueba (Datos no reales)",turno3,13:20:00,13:35:00,null
60040,874,2026-03-10,07:00:00,13:20:00,10,90,"Inserciones de prueba (Datos no reales)",turno3,13:20:00,13:35:00,null
60040,874,2026-03-10,07:00:00,13:20:00,4,90,"Inserciones de prueba (Datos no reales)",turno3,13:20:00,13:35:00,null
60040,874,2026-03-11,07:00:00,13:20:00,4,90,"Inserciones de prueba (Datos no reales)",turno3,13:20:00,13:35:00,null
60040,874,2026-03-11,07:00:00,13:20:00,10,90,"Inserciones de prueba (Datos no reales)",turno3,13:20:00,13:35:00,null
60044,874,2026-03-11,07:00:00,13:20:00,2,90,"Inserciones de prueba (Datos no reales)",turno3,13:20:00,13:35:00,null
60044,874,2026-03-11,07:00:00,13:20:00,10,90,"Inserciones de prueba (Datos no reales)",turno3,13:20:00,13:35:00,null
60044,874,2026-03-11,07:00:00,13:24:00,10,90,"Inserciones de prueba (Datos no reales)",turno3,13:24:00,13:39:00,null
60044,874,2026-03-11,07:00:00,13:24:00,1,90,"Inserciones de prueba (Datos no reales)",turno3,13:24:00,13:39:00,null
60040,874,2026-03-11,07:00:00,13:24:00,1,90,"Inserciones de prueba (Datos no reales)",turno3,13:24:00,13:39:00,null
60040,874,2026-03-11,07:00:00,13:24:00,1,90,"Inserciones de prueba (Datos no reales)",turno3,13:24:00,13:39:00,null
60040,874,2026-03-11,07:00:00,13:24:00,10,90,"Inserciones de prueba (Datos no reales)",turno3,13:24:00,13:39:00,null
60040,874,2026-03-11,07:00:00,13:30:00,10,90,"Inserciones de prueba (Datos no reales)",turno3,13:30:00,13:45:00,null
60040,874,2026-03-11,07:00:00,13:30:00,1,90,"Inserciones de prueba (Datos no reales)",turno3,13:30:00,13:45:00,null
60044,874,2026-03-11,07:00:00,13:30:00,1,90,"Inserciones de prueba (Datos no reales)",turno3,13:30:00,13:45:00,null
60044,874,2026-03-11,07:00:00,13:30:00,5,90,"Inserciones de prueba (Datos no reales)",turno3,13:30:00,13:45:00,null
60044,874,2026-03-11,07:00:00,13:30:00,10,90,"Inserciones de prueba (Datos no reales)",turno3,13:30:00,13:45:00,null
55217,874,2026-02-09,17:00:00,20:00:00,6,90,"Datos de prueba 2",mixto1,20:00:00,20:15:00,null
55217,874,2026-02-09,17:00:00,20:00:00,10,90,"Datos de prueba 2",mixto1,20:00:00,20:15:00,null
55217,874,2026-02-10,17:00:00,20:00:00,10,90,"Datos de prueba 2",mixto1,20:00:00,20:15:00,null
55217,874,2026-02-11,17:00:00,19:00:00,10,90,"Datos de prueba 2",mixto1,19:00:00,19:15:00,null
55217,874,2026-02-11,17:00:00,19:00:00,10,90,"Datos de prueba 2",mixto1,19:00:00,19:15:00,null
55217,874,2026-02-11,17:00:00,19:00:00,10,90,"Datos de prueba 2",mixto1,19:00:00,19:15:00,null
55217,873,2026-02-11,17:00:00,20:00:00,10,90,"Inserción de prueba (Datos no reales)",mixto1,20:00:00,20:15:00,null
60044,873,2026-03-13,17:00:00,19:00:00,4,64,"Inserción de prueba (Datos no reales)",mixto1,19:00:00,19:15:00,null
60040,874,2026-03-11,07:00:00,09:00:00,4,122,"Inserción de prueba (Datos no reales)",turno3,09:00:00,09:15:00,null
60040,874,2026-03-11,07:00:00,09:00:00,4,122,"Inserción de prueba (Datos no reales)",turno3,09:00:00,09:15:00,null
60040,875,2026-03-13,18:30:00,21:30:00,5,90,"Inserción de prueba (Datos no reales)",mixto2,21:30:00,21:45:00,null
60044,875,2026-03-12,07:00:00,10:00:00,5,90,"Inserción de prueba (Datos no reales)",turno3,10:00:00,10:15:00,null
60044,875,2026-03-13,15:00:00,17:00:00,5,90,"Inserción de prueba (Datos no reales)",turno1,17:00:00,17:15:00,null
60044,875,2026-03-13,07:00:00,09:00:00,10,90,"Inserción de prueba (Datos no reales)",turno3,09:00:00,09:15:00,null
55217,875,2026-02-10,17:00:00,19:00:00,10,90,"Inserción de prueba (Datos no reales)",mixto1,19:00:00,19:15:00,null
55217,875,2026-02-10,17:00:00,19:00:00,1,90,"Inserción de prueba (Datos no reales)",mixto1,19:00:00,19:15:00,null
55217,876,2026-02-10,17:00:00,21:00:00,5,137,"Datos de prueba.",mixto1,21:00:00,21:15:00,null
55217,876,2026-02-10,17:00:00,21:00:00,10,137,"Datos de prueba.",mixto1,21:00:00,21:15:00,null
55217,876,2026-02-10,17:00:00,20:00:00,4,137,"Datos de prueba.",mixto1,20:00:00,20:15:00,null
55217,876,2026-02-10,17:00:00,20:00:00,10,137,"Datos de prueba.",mixto1,20:00:00,20:15:00,null
55217,877,2026-02-09,17:00:00,19:00:00,1,64,"Datos de prueba",mixto1,19:00:00,19:15:00,null
55217,877,2026-02-10,17:00:00,19:00:00,10,64,"Datos de prueba",mixto1,19:00:00,19:15:00,null
55217,877,2026-02-09,17:00:00,19:00:00,10,64,"Datos de prueba",mixto1,19:00:00,19:15:00,null
55217,877,2026-02-09,17:00:00,19:00:00,1,64,"Datos de prueba",mixto1,19:00:00,19:15:00,null
55217,877,2026-02-09,17:00:00,19:00:00,4,64,"Datos de prueba",mixto1,19:00:00,19:15:00,null
55217,877,2026-02-09,17:00:00,19:00:00,10,64,"Datos de prueba",mixto1,19:00:00,19:15:00,null
55217,877,2026-02-09,01:00:00,04:00:00,8,64,"Datos de prueba",mixto1,19:00:00,19:15:00,null
55217,877,2026-02-09,17:00:00,19:00:00,1,81,"Datos de prueba 2",mixto1,19:00:00,19:15:00,null
55217,877,2026-02-09,17:00:00,19:00:00,5,81,"Datos de prueba 2",mixto1,19:00:00,19:15:00,null
55217,877,2026-02-09,17:00:00,19:00:00,10,81,"Datos de prueba 2",mixto1,19:00:00,19:15:00,null
55217,877,2026-02-09,17:00:00,19:00:00,11,81,"Datos de prueba 2",mixto1,19:00:00,19:15:00,null
55217,877,2026-02-09,01:00:00,04:00:00,8,81,"Datos de prueba 2",mixto1,19:00:00,19:15:00,null
55217,877,2026-02-09,17:00:00,19:00:00,1,81,"Datos de prueba 2",mixto1,19:00:00,19:15:00,null
55217,877,2026-02-09,17:00:00,19:00:00,1,65,"Datos de prueba 2",mixto1,19:00:00,19:15:00,null
55217,877,2026-02-09,17:00:00,19:00:00,10,65,"Datos de prueba 2",mixto1,19:00:00,19:15:00,null
55217,877,2026-02-09,17:00:00,19:00:00,6,65,"Datos de prueba 2",mixto1,19:00:00,19:15:00,null
55217,877,2026-02-09,17:00:00,19:00:00,1,90,"Datos de prueba",mixto1,19:00:00,19:15:00,null
55217,877,2026-02-09,17:00:00,19:00:00,2,90,"Datos de prueba",mixto1,19:00:00,19:15:00,null
55217,877,2026-02-09,17:00:00,19:00:00,10,90,"Datos de prueba",mixto1,19:00:00,19:15:00,null
55217,877,2026-02-09,17:00:00,19:00:00,2,90,"Datos de prueba",mixto1,19:00:00,19:15:00,null
55217,877,2026-02-09,17:00:00,19:00:00,4,90,"Datos de prueba",mixto1,19:00:00,19:15:00,null
55217,877,2026-02-09,17:00:00,19:00:00,7,90,"Datos de prueba",mixto1,19:00:00,19:15:00,null
55217,877,2026-02-09,17:00:00,19:00:00,10,90,"Datos de prueba",mixto1,19:00:00,19:15:00,null
55217,877,2026-02-09,17:00:00,19:00:00,2,90,"Datos de prueba",mixto1,19:00:00,19:15:00,null
